Deal Type,Announce Date,Target Ticker,Target Name,Acquirer Ticker,Announced Total Value (mil.),Payment Type,Deal Status,Completion/Termination Date,Cash Terms,Target Industry Sector
M&A,7/29/2010,PMAM3 BZ,Paranapanema SA,VALE3 BZ,1018.78,Cash,Terminated,9/1/2010,6.3000/sh.,Basic Materials
M&A,6/1/2015,OMG US,Vectra Co,APO US,1018.5,Cash,Completed,10/28/2015,34.0000/sh.,Basic Materials
M&A,3/31/2010,SPR FP,Sperian Protection SA,1709Z LN,1017.72,Cash,Terminated,9/15/2010,70.0000/sh.,Industrial
M&A,1/18/2011,SBIB US,Sterling Bancshares Inc/TX,CMA US,1017.22,Stock,Completed,7/29/2011,N/A,Financial
M&A,7/20/2015,KTC NA,Koninklijke Ten Cate BV,,1017.01,Cash,Completed,3/17/2016,26.0000/sh.,Industrial
M&A,5/4/2016,PESA AR,Petrobras Argentina SA,PAMP AR,1016.61,Cash,Completed,7/27/2016,897.0000 Mln,Energy
M&A,9/27/2010,AAI US,AirTran Holdings Inc,LUV US,1014.63,Cash and Stock,Completed,5/3/2011,3.7500/sh.,"Consumer, Cyclical"
M&A,10/31/2016,PSGLQ US,Old PSG Wind-Down Ltd,,1012.31,Cash,Pending,2/27/2017,575.0000 Mln,"Consumer, Cyclical"
M&A,10/27/2014,SMDR LN,Salamander Energy PLC,OPHR LN,1011.67,Stock,Completed,3/3/2015,N/A,Energy
M&A,4/15/2013,1468826D US,NFP Corp,13716Z US,1010.84,Cash,Completed,7/2/2013,25.3500/sh.,Financial
M&A,12/8/2015,PBY US,Pep Boys-Manny Moe & Jack/The,IEP US,1010.48,Cash,Completed,2/4/2016,18.5000/sh.,"Consumer, Cyclical"
M&A,3/30/2015,GTC PW,Globe Trade Centre SA,71194Z US,1009.92,Cash,Completed,6/15/2015,6.1000/sh.,Financial
M&A,6/14/2011,AVE LN,Avis Budget EMEA Ltd,CAR US,1009.6,Cash,Completed,10/4/2011,3.1500/sh.,"Consumer, Non-cyclical"
M&A,4/24/2010,CKR US,CKE Restaurants Inc,APO US,1009.5,Cash,Completed,7/13/2010,12.5500/sh.,"Consumer, Cyclical"
