Quarter,Date,Time,Unknown,EPS,Est EPS,Date F,Est EPS diff,Est EPS diff percentage,Price,Price Return lag4,t+1 - t,t - t-1,t+1 - t-1,Action ID,Target Ticker,Payment Type,Target Industry Sector,Cash Terms,Return Used,Spread,t+1 - t Price,t+1 - t Spread,t - t-1 Price,t - t-1 Spread,Delta Spread,Delta Spread percentage
2016:Q3,11/10/2016,6:15,0.2144,0.2766,0.615,2016-11-10,-0.3384,-0.550243902439,13.96,0.0,0.0716332378224,0.0,0.0716332378224,124119657,TLN US,Cash,Utilities,14.0,0.0,0.00286532951289,13.97,0.00214745884037,13.96,0.00286532951289,0.0,0.0
2016:Q2,8/4/2016,6:00,-0.1031,-0.1801,-0.32,2016-08-04,0.1399,0.4371875,13.57,1.10701107011,1.03168754606,0.0737463126844,1.10619469027,124119657,TLN US,Cash,Utilities,14.0,0.0737463126844,0.0316875460575,13.71,0.0211524434719,13.56,0.0324483775811,-0.000760831523641,-0.0234474442286
2014:Q4,2/10/2015,5:00,-0.0978,-0.14,-0.044,2015-02-10,-0.096,-2.18181818182,9.59,0.421052631579,1.4598540146,1.912858661,3.40063761955,100082949,TLM CN,Cash,Energy,8.0,1.912858661,-0.165797705944,9.73,-0.17780061665,9.41,-0.149840595112,-0.0159571108321,0.10649390988
2011:Q4,2/15/2012,Aft-mkt,-0.0857,0.26,0.234,2012-02-15,0.026,0.111111111111,45.8,0.0875848478213,0.0873362445415,0.0,0.0873362445415,61541548,TLEO US,Cash,Technology,46.0,0.0873362445415,0.00436681222707,45.84,0.00349040139616,45.8,0.00436681222707,-0.000876410830914,-0.200698080279
2014:Q2,8/13/2014,7:00,0.0641,-0.136,0.083,2014-08-13,-0.219,-2.63855421687,7.125,-0.0701459034792,0.322807017544,-0.126156433978,0.196243341744,90334345,TKA AV,Cash,Communications,7.15,-0.126156433978,0.00350877192982,7.148,0.000279798545048,7.134,0.0022427810485,0.00126599088132,0.56447368421
2011:Q3,10/19/2011,8:30,0.2393,0.18,0.194,2011-10-19,-0.014,-0.0721649484536,31.5,0.253968253968,0.0952380952381,-0.0317359568391,0.0634719136782,55076867,TIN US,Cash,Industrial,32.0,-0.0317359568391,0.015873015873,31.53,0.0149064383127,31.51,0.0155506188512,0.000322397021858,0.0207321023648
2011:Q2,7/21/2011,8:30,0.221,0.21,0.172,2011-07-21,0.038,0.220930232558,30.94,-0.936390054892,-0.323206205559,0.0646830530401,-0.25873221216,55076867,TIN US,Cash,Industrial,32.0,0.0646830530401,0.0342598577893,30.84,0.0376134889754,30.92,0.0349288486417,-0.000668990852386,-0.0191529603294
2015:Q2,8/4/2015,16:02,0.2367,0.37,0.33,2015-08-04,0.04,0.121212121212,63.35,-0.600410807395,0.0947119179163,-0.141866330391,-0.047288776797,109921166,THOR US,Cash,"Consumer, Non-cyclical",63.5,0.0947119179163,0.00236779794791,63.41,0.00141933448983,63.44,0.00094577553594,-0.00094846345808,-0.400567733796
2011:Q1,5/3/2011,7:30,0.1819,0.18,0.541,2011-05-03,-0.361,-0.667282809612,6.58,-6.63780663781,-4.71124620061,-1.644245142,-6.27802690583,50344110,THC US,Cash,"Consumer, Non-cyclical",7.25,-1.644245142,0.101823708207,6.27,0.15629984051,6.69,0.0837070254111,0.0181166827956,0.216429656969
2010:Q4,2/25/2011,7:30,0.1197,0.13,0.312,2011-02-25,-0.182,-0.583333333333,7.07,1.88405797101,1.5558698727,1.43472022956,3.01291248207,50344110,THC US,Cash,"Consumer, Non-cyclical",7.25,1.43472022956,0.025459688826,7.18,0.00974930362117,6.97,0.0401721664275,-0.0147124776015,-0.366235603152
2011:A,3/8/2012,,1.5256,1.513,1.35,2012-03-08,0.163,0.120740740741,26.24,0.344036697248,0.247713414634,0.305810397554,0.554281345566,52681994,TGM GR,Cash,Industrial,31.61,0.554281345566,0.204649390244,26.305,0.201672685801,26.16,0.208333333333,-0.00297670444272,-0.0145453863272
2011:Q1,5/9/2011,7:30,0.43,0.387,0.291,2011-05-09,0.096,0.329896907216,26.2,1.51602379582,0.0763358778626,-0.361285415478,-0.285225328009,52681994,TGM GR,Cash,Industrial,31.61,-0.361285415478,0.206488549618,26.22,0.205568268497,26.295,0.202129682449,0.00435886716919,0.0215647059668
2010:A,3/10/2011,7:30,0.101,1.219,1.045,2011-03-10,0.174,0.166507177033,25.25,6.5096359743,-0.118811881188,1.50753768844,1.38693467337,52681994,TGM GR,Cash,Industrial,31.61,1.50753768844,0.251881188119,25.22,0.253370340999,24.875,0.270753768844,-0.0188725807254,-0.0697038523451
2016:Q4,3/23/2016,Aft-mkt,0.52,0.49,0.48,2016-03-23,0.01,0.0208333333333,28.37,0.0350877192983,-0.0352485019387,-0.351246926589,-0.386371619248,114240849,TFM US,Cash,"Consumer, Non-cyclical",28.5,-0.0352485019387,0.00458230525203,28.36,0.0049365303244,28.47,0.00105374077977,0.000354225072374,0.077302810025
2016:Q1,4/26/2016,16:59,0.0478,-0.05,-0.047,2016-04-26,-0.003,-0.063829787234,23.74,-3.83516931865,0.33698399326,-2.18376596621,-1.85414091471,119552883,TEX US,Cash,Industrial,31.0,0.33698399326,0.305812973884,23.82,0.301427371956,24.27,0.277297074578,-0.0043856019274,-0.0143407974871
2015:Q4,2/16/2016,17:14,0.2931,0.507,0.523,2016-02-16,-0.016,-0.0305927342256,20.44,10.3396603397,4.15851272016,-0.486854917235,3.65141187926,119552883,TEX US,Cash,Industrial,31.0,4.15851272016,0.516634050881,21.29,0.456082667919,20.54,0.509250243427,-0.0605513829614,-0.117203623838
2011:A,2/9/2012,Aft-mkt,0.808,0.808,0.78,2012-02-09,0.028,0.0358974358974,10.1,-0.990099009901,-0.990099009901,0.0,-0.990099009901,56615229,TELMEXL MM,Cash,Communications,10.225,-0.990099009901,0.0123762376238,10.0,0.0225,10.1,0.0123762376238,0.0101237623762,0.818
2011:Q3,10/26/2011,,0.2,0.199,0.19,2011-10-26,0.009,0.0473684210526,10.46,0.0,0.0,-0.0955109837631,-0.0955109837631,56615229,TELMEXL MM,Cash,Communications,10.225,-0.0955109837631,-0.0224665391969,10.46,-0.0224665391969,10.47,-0.023400191022,0.0,-0.0
2013:Q3,12/10/2012,16:05,-0.0348,0.0,-0.009,2012-12-10,0.009,1.0,15.45,-0.323624595469,-0.0647249190939,0.0647668393782,0.0,70793762,TEA US,Cash,"Consumer, Cyclical",15.5,-0.0647249190939,0.00323624595469,15.44,0.00388601036269,15.44,0.00388601036269,0.000649764408002,0.200777202073
