Action ID,Announce Date,Target Ticker,Target Name,Acquirer Ticker,Announced Total Value (mil.),Payment Type,Deal Status,Completion/Termination Date,Cash Terms,Target Industry Sector
143857542,4/13/2017,FOR US,Forestar Group Inc,17274Z US,667.11,Cash,Terminated,6/29/2017,16,Financial
59483598,11/25/2011,FMS AU,Flinders Mines Ltd,MAGN RM,494.87,Cash,Terminated,7/2/2012,0.3,Basic Materials
67648168,8/13/2012,FMCN US,Focus Media Holding Ltd,,3427.06,Cash,Completed,5/24/2013,27.5,Communications
129644135,8/1/2016,FLTX US,Fleetmatics Group Ltd,VZ US,2188.25,Cash,Completed,11/7/2016,60,Technology
79752722,7/23/2013,FIRE US,Sourcefire Inc,CSCO US,2185.23,Cash,Completed,10/8/2013,76,Communications
92521446,6/16/2014,FIO US,Fusion-io LLC,SNDK US,1053.37,Cash,Completed,7/23/2014,11.25,Technology
140387509,2/14/2017,FIG US,Fortress Investment Group LLC,9984 JP,3119.26,Cash,Completed,12/27/2017,8.08,Financial
136666931,12/9/2016,FFY ID,Fyffes PLC,8053 JP,879.94,Cash,Completed,2/20/2017,2.23,"Consumer, Non-cyclical"
61818505,2/20/2012,FES CN,Flint Energy Services Ltd,URS US,1351.83,Cash,Completed,5/18/2012,25,Energy
126272547,5/27/2016,FEIC US,FEI Co,TMO US,4071.48,Cash,Completed,9/21/2016,107.5,Industrial
97682707,5/6/2015,FEC CN,Frontera Energy Corp,,5757.48,Cash,Terminated,7/9/2015,6.5,Energy
120153618,3/4/2016,FCC SM,Fomento de Construcciones y Contratas SA,1109283Z MM,6918.89,Cash,Completed,7/15/2016,7.6,Industrial
86632193,1/28/2014,FCAM LN,F&C Asset Management PLC,BMO CN,1155.19,Cash,Completed,5/8/2014,1.2,Financial
54530329,5/16/2011,FANH US,Fanhua Inc,,626.96,Cash,Terminated,5/16/2011,19,Financial
43686904,3/9/2010,FACT US,AbbVie Biotherapeutics Inc,ABT US,402.0,Cash,Completed,4/22/2010,27,"Consumer, Non-cyclical"
113229252,9/30/2015,EZCH IT,EZchip Semiconductor Ltd,MLNX US,582.01,Cash,Completed,2/25/2016,25.5,Communications
59931854,12/8/2011,EXT AU,Extract Resources Ltd,,1190.03,Cash,Completed,4/17/2012,8.65,Basic Materials
105346509,4/10/2015,EXL US,Excel Trust Inc,BX US,1828.52,Cash,Completed,8/3/2015,15.85,Financial
142859491,3/29/2017,EXAR US,Exar Corp,MXL US,445.98,Cash,Completed,5/12/2017,13,Technology
124646850,4/27/2016,EXAM US,ExamWorks Group Inc,24469Z US,2006.59,Cash,Completed,7/28/2016,35.05,"Consumer, Non-cyclical"
93607411,10/9/2014,EXACT NA,Exact Holding BV,6212Z LN,914.86,Cash,Completed,3/31/2015,32,Technology
154198121,10/23/2017,EXAC US,Exactech Inc,8818Z US,739.92,Cash,Pending,3/31/2018,49.25,"Consumer, Non-cyclical"
45700211,6/1/2010,EVVV US,ev3 Inc,COV US,2489.97,Cash,Completed,7/13/2010,22.5,"Consumer, Non-cyclical"
129267119,8/8/2016,EVER US,TIAA FSB Holdings Inc,2152Z US,2487.72,Cash,Completed,6/9/2017,19.5,Financial
133836920,10/21/2016,EVDY US,Everyday Health Inc,JCOM US,437.54,Cash,Completed,12/6/2016,10.5,Technology
80587318,8/19/2013,EVAC US,Edwards Group Ltd,ATCOA SS,1292.75,Cash,Completed,1/10/2014,9.25,Industrial
50087155,12/1/2010,EURX US,Eurand NV,4629351Z CN,586.51,Cash,Completed,3/2/2011,12,"Consumer, Non-cyclical"
77773518,6/4/2013,ET US,ExactTarget LLC,CRM US,2419.42,Cash,Completed,7/12/2013,33.75,Communications
75565761,3/28/2013,EQC US,Equity Commonwealth,,2898.45,Cash,Terminated,12/31/2013,24.5,Financial
106972864,7/27/2016,EPIQ US,Epiq Systems Inc,,1005.47,Cash,Completed,10/3/2016,16.5,Technology
53380294,4/4/2011,EPIC US,Epicor Software Corp/Old,6212Z LN,936.03,Cash,Completed,5/17/2011,12.5,Technology
71607426,12/6/2012,EPHC US,Epoch Holding Corp,TD CN,669.71,Cash,Completed,3/28/2013,28,Financial
90985825,5/8/2014,ENV AU,Australian Gas Networks Ltd,,3794.68,Cash,Completed,10/20/2014,1.32,Utilities
156830757,12/7/2017,ENTL US,Entellus Medical Inc,SYK US,629.89,Cash,Pending, ,24,"Consumer, Non-cyclical"
132997196,10/5/2016,ENH US,Endurance Specialty Holdings Ltd,8630 JP,6284.85,Cash,Completed,3/29/2017,93,Financial
52043214,2/14/2011,EMS US,Envision Healthcare Corp/CO,5056Z US,2987.17,Cash,Completed,5/26/2011,64,"Consumer, Non-cyclical"
44814086,4/26/2010,EMMS US,Emmis Communications Corp,,405.99,Cash,Terminated,9/9/2010,2.4,Communications
113811828,10/12/2015,EMC US,EMC Corp,1437308D US,63693.23,Cash,Completed,9/7/2016,24.05,Technology
103158623,2/25/2015,ELX US,Emulex Corp,1373183D US,539.95,Cash,Completed,5/5/2015,8,Technology
65917712,6/29/2012,ELTTY US,Elster Group SE,MRO LN,2784.24,Cash,Completed,8/24/2012,20.5,Industrial
98126356,12/15/2014,ELT NO,Eltek ASA,2308 TT,601.35,Cash,Completed,4/23/2015,11.75,Communications
72159726,12/20/2012,ELOQ US,Eloqua Inc,ORCL US,724.35,Cash,Completed,2/11/2013,23.5,Technology
74358894,2/25/2013,ELN ID,Perrigo Corp DAC,0818400D SW,7777.45,Cash,Terminated,6/18/2013,13,"Consumer, Non-cyclical"
55233097,6/13/2011,ELMG US,EMS Technologies Inc,HON US,484.86,Cash,Completed,8/23/2011,33,Communications
156073811,11/27/2017,ELE FP,Euler Hermes Group,ALV GR,1587.57,Cash,Pending,2/13/2018,122,Financial
81768224,9/24/2013,EGIS HB,EGIS Pharmaceuticals PLC,41022Z FP,481.28,Cash,Completed,12/12/2013,28000,"Consumer, Non-cyclical"
52710840,3/10/2011,EDT AU,EDT Retail Trust,,1191.19,Cash,Completed,9/6/2011,0.09,Financial
65271994,5/25/2012,EDN IM,Edison SpA,EDF FP,1117.25,Cash,Completed,9/10/2012,0.89,Utilities
82058789,10/1/2013,EDG US,Edgen Group Inc,8053 JP,894.49,Cash,Completed,11/21/2013,12,Energy
120383581,2/9/2016,EDE US,Empire District Electric Co/The,AQN CN,2361.73,Cash,Completed,1/3/2017,34,Utilities
113817432,10/8/2015,EDCL LI,Eurasia Drilling Co Ltd,,2480.64,Cash,Completed,11/18/2015,11.75,Energy
76616544,5/1/2013,EBIX US,Ebix Inc,GS US,818.98,Cash,Terminated,6/19/2013,20,Technology
136744096,12/12/2016,E2V LN,Teledyne E2V Ltd,TDY US,786.53,Cash,Completed,3/29/2017,2.75,Technology
114935287,11/2/2015,DYAX US,Dyax Corp,SHP LN,5393.89,Cash,Completed,1/25/2016,37.3,"Consumer, Non-cyclical"
126490772,6/1/2016,DWRE US,Demandware LLC,CRM US,2778.8,Cash,Completed,7/11/2016,75,Technology
124618656,4/28/2016,DWA US,DreamWorks Animation LLC,CMCSA US,3797.2,Cash,Completed,8/23/2016,41,"Consumer, Cyclical"
72492452,12/30/2012,DUF US,Duff & Phelps Corp,,628.82,Cash,Completed,4/23/2013,15.55,Financial
