MMM US,
9/28/2013,1417.04
12/28/2013,1541.08
3/29/2014,1340.545
6/28/2014,1440.435
9/27/2014,1472.64
12/27/2014,1243
3/28/2015,1051.565
6/27/2015,948.478
9/26/2015,995.963
12/26/2015,954.792
3/26/2016,819.095
6/25/2016,956.176
9/24/2016,1213.222
12/31/2016,1073.941
4/1/2017,984.455
7/1/2017,1158.565
9/30/2017,1506.875
,
,
,
,
,
,
,
,
,
,
AAP US,
4/24/2010,1704.647
7/17/2010,1414.579
10/9/2010,1363.882
1/1/2011,1249.333
4/23/2011,1919.533
7/16/2011,1497.5
10/8/2011,1458.133
12/31/2011,1324.235
4/21/2012,2003.412
7/14/2012,1480.882
10/6/2012,1458.059
12/29/2012,1330.8
4/20/2013,2010.824
7/13/2013,1595.778
10/5/2013,1523.5
12/28/2013,1383.588
4/19/2014,2985.824
7/12/2014,2320.118
10/4/2014,2284.889
1/3/2015,2292.941
4/25/2015,3048.444
7/18/2015,2382.125
10/10/2015,2326.947
1/2/2016,2050.389
4/23/2016,3007.389
7/16/2016,2243.556
10/8/2016,2198.263
12/31/2016,2016.286
4/22/2017,2949.286
7/15/2017,2261.25
10/7/2017,2212.1
,
,
,
,
,
,
,
,
,
,
AES US,
3/31/2010,3023
6/30/2010,3060
9/30/2010,3654
12/31/2010,#N/A N/A
3/31/2011,#N/A N/A
6/30/2011,#N/A N/A
9/30/2011,#N/A N/A
12/31/2011,3458
3/31/2012,4501
6/30/2012,4692.333
9/30/2012,4693.667
12/31/2012,4097
3/31/2013,4344.5
6/30/2013,4486.5
9/30/2013,4998.75
12/31/2013,5587.667
3/31/2014,4453
6/30/2014,4501
9/30/2014,4972.333
12/31/2014,5676
3/31/2015,4393.75
6/30/2015,4502.75
9/30/2015,5389.333
12/31/2015,6704
3/31/2016,3626.667
6/30/2016,3310.333
9/30/2016,4535.667
12/31/2016,4192.667
3/31/2017,3065
6/30/2017,2970
9/30/2017,3630.667
,
,
,
,
,
,
,
,
,
,
AET US,
3/31/2010,8598.8
6/30/2010,8455.091
9/30/2010,8371.333
12/31/2010,8334.357
3/31/2011,8291
6/30/2011,8239.75
9/30/2011,8316.308
12/31/2011,8504
3/31/2012,8670.7
6/30/2012,8803.286
9/30/2012,8843.4
12/31/2012,8979.091
3/31/2013,9626.545
6/30/2013,12099.4
9/30/2013,12960.6
12/31/2013,13149.833
3/31/2014,13743.417
6/30/2014,14007.429
9/30/2014,14617.929
12/31/2014,14589.714
3/31/2015,15490.583
6/30/2015,15429.231
9/30/2015,15221.077
12/31/2015,14940.929
3/31/2016,15531.214
6/30/2016,15757.308
9/30/2016,15707.923
12/31/2016,15838.385
3/31/2017,15380.25
6/30/2017,15336.455
9/30/2017,15123
,
,
,
,
,
,
,
,
,
,
AMG US,
3/31/2010,249.429
6/30/2010,291.429
9/30/2010,356.889
12/31/2010,422.25
3/31/2011,430.286
6/30/2011,443.857
9/30/2011,433.833
12/31/2011,422.429
3/31/2012,422.429
6/30/2012,442.5
9/30/2012,486.333
12/31/2012,523.5
3/31/2013,515.833
6/30/2013,528
9/30/2013,559.333
12/31/2013,630.333
3/31/2014,606.333
6/30/2014,631.286
9/30/2014,661
12/31/2014,662
3/31/2015,650.5
6/30/2015,661.714
9/30/2015,630
12/31/2015,617.571
3/31/2016,586.714
6/30/2016,562
9/30/2016,565.667
12/31/2016,566.167
3/31/2017,549.833
6/30/2017,573.667
9/30/2017,586.667
,
,
,
,
,
,
,
,
,
,
AFL US,
3/31/2010,5013
6/30/2010,4997
9/30/2010,5320.857
12/31/2010,5596.875
3/31/2011,5596.286
6/30/2011,5703.833
9/30/2011,5947.5
12/31/2011,6189.333
3/31/2012,6185
6/30/2012,6307.333
9/30/2012,6545.833
12/31/2012,6566.875
3/31/2013,6127.125
6/30/2013,5863.25
9/30/2013,5902.444
12/31/2013,5902.25
3/31/2014,5815.222
6/30/2014,5826.75
9/30/2014,5706
12/31/2014,5500.75
3/31/2015,5320.5
6/30/2015,5245.444
9/30/2015,5176.875
12/31/2015,5210.889
3/31/2016,5256
6/30/2016,5478.667
9/30/2016,5779.333
12/31/2016,5653.143
3/31/2017,5329.143
6/30/2017,5432.4
9/30/2017,5411.6
,
,
,
,
,
,
,
,
,
,
A US,
1/31/2010,1179.875
4/30/2010,1248.143
7/31/2010,1400
10/31/2010,1526.778
1/31/2011,1546.636
4/30/2011,1603.818
7/31/2011,1653.545
10/31/2011,1752.071
1/31/2012,1649
4/30/2012,1710.333
7/31/2012,1786.214
10/31/2012,1757
1/31/2013,1693.364
4/30/2013,1741.286
7/31/2013,1642.615
10/31/2013,1708.643
1/31/2014,1692.769
4/30/2014,1731.667
7/31/2014,1748.083
10/31/2014,1813.222
1/31/2015,1020.182
4/30/2015,989.692
7/31/2015,1002.769
10/31/2015,1035.769
1/31/2016,1016.154
4/30/2016,984
7/31/2016,1046.125
10/31/2016,1067.727
1/31/2017,1047.417
4/30/2017,1050.364
7/31/2017,1085.333
10/31/2017,1169.889
,
,
,
,
,
,
,
,
,
APD US,
3/31/2010,2247.455
6/30/2010,2289.444
9/30/2010,2347.2
12/31/2010,2346.444
3/31/2011,2430.455
6/30/2011,2522.154
9/30/2011,2624.75
12/31/2011,2517
3/31/2012,2454.923
6/30/2012,2447.25
9/30/2012,2513.154
12/31/2012,2483.538
3/31/2013,2595
6/30/2013,2531
9/30/2013,2669.929
12/31/2013,2565.231
3/31/2014,2548.933
6/30/2014,2673.067
9/30/2014,2716.067
12/31/2014,2651.7
3/31/2015,2612.273
6/30/2015,2478
9/30/2015,2554.091
12/31/2015,2435.091
3/31/2016,2366.1
6/30/2016,2406.727
9/30/2016,2451
12/31/2016,1963.1
3/31/2017,1840
6/30/2017,2055.9
9/30/2017,2123.2
,
,
,
,
,
,
,
,
,
,
AKAM US,
3/31/2010,229.85
6/30/2010,243.316
9/30/2010,249.722
12/31/2010,283.19
3/31/2011,272.375
6/30/2011,277.65
9/30/2011,279.167
12/31/2011,311.684
3/31/2012,310.8
6/30/2012,326.238
9/30/2012,338.571
12/31/2012,381.409
3/31/2013,357.65
6/30/2013,374.143
9/30/2013,387.579
12/31/2013,422.6
3/31/2014,441.684
6/30/2014,472.938
9/30/2014,490.857
12/31/2014,526.762
3/31/2015,526.238
6/30/2015,540.429
9/30/2015,550.273
12/31/2015,568.714
3/31/2016,564.13
6/30/2016,574.957
9/30/2016,571.905
12/31/2016,605
3/31/2017,604.682
6/30/2017,604.565
9/30/2017,610.708
,
,
,
,
,
,
,
,
,
,
ALK US,
3/31/2010,816.5
6/30/2010,964.444
9/30/2010,1061.6
12/31/2010,939.6
3/31/2011,959.125
6/30/2011,1109.429
9/30/2011,1188.875
12/31/2011,1055.545
3/31/2012,1040.222
6/30/2012,1213.444
9/30/2012,1277
12/31/2012,1131.714
3/31/2013,1133.25
6/30/2013,1260.75
9/30/2013,1360.889
12/31/2013,1206.778
3/31/2014,1222.125
6/30/2014,1373.667
9/30/2014,1466.3
12/31/2014,1303.25
3/31/2015,1269.889
6/30/2015,1437.545
9/30/2015,1513.7
12/31/2015,1378.111
3/31/2016,1341.1
6/30/2016,1499.333
9/30/2016,1553.667
12/31/2016,1444.429
3/31/2017,1762.556
6/30/2017,2099.111
9/30/2017,2125.625
,
,
,
,
,
,
,
,
,
,
ALB US,
3/31/2010,562
6/30/2010,570.625
9/30/2010,609.625
12/31/2010,576
3/31/2011,636.25
6/30/2011,701.125
9/30/2011,722
12/31/2011,699.375
3/31/2012,722
6/30/2012,741.2
9/30/2012,670.3
12/31/2012,647.167
3/31/2013,677.417
6/30/2013,653.5
9/30/2013,647.231
12/31/2013,652.583
3/31/2014,655.846
6/30/2014,626.538
9/30/2014,615.25
12/31/2014,637.154
3/31/2015,894.714
6/30/2015,927.333
9/30/2015,936.636
12/31/2015,885.846
3/31/2016,814.909
6/30/2016,857.9
9/30/2016,651.875
12/31/2016,646.25
3/31/2017,683.077
6/30/2017,735.5
9/30/2017,733.583
,
,
,
,
,
,
,
,
,
,
ARE US,
3/31/2010,110.083
6/30/2010,118.2
9/30/2010,119.8
12/31/2010,125.5
3/31/2011,133
6/30/2011,141.667
9/30/2011,143.5
12/31/2011,143
3/31/2012,145.143
6/30/2012,144.833
9/30/2012,152
12/31/2012,154.714
3/31/2013,152.286
6/30/2013,151.8
9/30/2013,157.8
12/31/2013,170
3/31/2014,172.667
6/30/2014,176.833
9/30/2014,183
12/31/2014,188
3/31/2015,193.75
6/30/2015,200.2
