Quarter,Date,Time,Unknown,EPS,Est EPS,Date F,Est EPS diff,Est EPS diff percentage,Price,Price Return lag2,t+1 - t,t - t-1,t+1 - t-1,Price Return lag3,Price Return lag4,vol,Symbol,Target Industry Sector,Return Used
2012:Q2,7/26/2012,7:30,1.66,1.66,1.653,2012-07-26,0.007,0.00423472474289,90.59,3.33521126761,1.23633955183,2.07323943662,3.33521126761,2.85070422535,2.79436619718,1.20000472683,MMM US,Industrials,2.07323943662
2012:Q1,4/24/2012,7:30,1.63,1.6333,1.486,2012-04-24,0.1473,0.0991251682369,88.49,1.91667623092,0.35032207029,1.56088603237,1.91667623092,2.51348559624,2.55939400895,1.01817995284,MMM US,Industrials,1.56088603237
2011:Q4,1/26/2012,7:30,1.35,1.35,1.305,2012-01-26,0.045,0.0344827586207,87.58,1.13320999075,-0.137017583923,1.27197039778,1.13320999075,0.994449583719,0.265957446809,0.625184849995,MMM US,Industrials,1.27197039778
2011:Q3,10/25/2011,7:30,1.52,1.52,1.609,2011-10-25,-0.089,-0.0553138595401,77.04,-6.27889997566,-0.0259605399792,-6.25456315405,-6.27889997566,-0.936967632027,-1.43587247505,3.07532666304,MMM US,Industrials,-6.25456315405
2011:Q2,7/26/2011,7:30,1.6,1.6,1.592,2011-07-26,0.008,0.00502512562814,89.93,-7.35247712212,-2.05715556544,-5.4065425476,-7.35247712212,-7.88892395077,-8.34122225728,1.86915909855,MMM US,Industrials,-5.4065425476
2011:Q1,4/26/2011,7:30,1.49,1.49,1.435,2011-04-26,0.055,0.0383275261324,95.94,2.49681257969,0.552428601209,1.93370165746,2.49681257969,3.30429239269,3.28304292393,1.18144248248,MMM US,Industrials,1.93370165746
2010:Q4,1/25/2011,7:30,1.28,1.28,1.268,2011-01-25,0.012,0.00946372239748,88.5,-0.830380868025,1.20903954802,-2.01505757307,-0.830380868025,-1.25110717449,-3.18866253322,1.01430334659,MMM US,Industrials,-2.01505757307
2010:Q3,10/28/2010,7:30,1.53,1.53,1.512,2010-10-28,0.018,0.0119047619048,85.07,-6.80535575965,-0.999177148231,-5.86477813434,-6.80535575965,-7.07093061857,-6.16354985061,2.03831333162,MMM US,Industrials,-5.86477813434
2010:Q2,7/22/2010,7:30,1.54,1.54,1.474,2010-07-22,0.066,0.044776119403,84.75,4.70230862697,1.67551622419,2.97691373026,4.70230862697,6.09963547995,5.46780072904,1.45840126163,MMM US,Industrials,2.97691373026
2010:Q1,4/27/2010,7:30,1.4061,1.4,1.212,2010-04-27,0.188,0.155115511551,87.97,0.914913083257,0.306922814596,0.606129917658,0.914913083257,2.16148215919,1.40667886551,0.78537054832,MMM US,Industrials,0.606129917658
2009:Q4,1/28/2010,7:30,1.3,1.3,1.211,2010-01-28,0.089,0.0734929810074,80.75,-2.1992709599,-0.321981424149,-1.88335358445,-2.1992709599,-2.26002430134,-2.27217496962,1.32475286247,MMM US,Industrials,-1.88335358445
2017:Q3,10/18/2017,7:45,0.436,0.66,0.653,2017-10-18,0.007,0.010719754977,55.77,1.70722847802,0.412408104716,1.28950236106,1.70722847802,2.28841264076,1.85252451871,0.955792409694,ABT US,Health Care,1.28950236106
2017:Q2,7/20/2017,7:45,0.4404,0.62,0.605,2017-07-20,0.015,0.0247933884298,50.85,2.85251871333,-0.0196656833825,2.8727493425,2.85251871333,2.77159619664,2.83228808416,1.1514699603,ABT US,Health Care,2.8727493425
2017:Q1,4/19/2017,7:45,0.5583,0.48,0.43,2017-04-19,0.05,0.116279069767,43.59,1.26640571034,0.894700619408,0.368408933917,1.26640571034,0.230255583698,1.61178908589,0.886733926877,ABT US,Health Care,0.368408933917
2016:Q4,1/25/2017,7:45,0.6082,0.65,0.646,2017-01-25,0.004,0.0061919504644,40.31,1.61250310097,1.61250310097,0.0,1.61250310097,1.71173406103,1.73654180104,0.43961307958,ABT US,Health Care,0.0
2016:Q3,10/19/2016,7:45,0.1881,0.59,0.581,2016-10-19,0.009,0.0154905335628,40.01,-1.04444984212,1.82454386403,-2.8175856206,-1.04444984212,-1.62739859121,-1.84600437212,2.03565070112,ABT US,Health Care,-2.8175856206
2016:Q2,7/20/2016,7:45,0.4612,0.55,0.533,2016-07-20,0.017,0.031894934334,42.65,2.96650717703,0.914419695193,2.03349282297,2.96650717703,3.27751196172,3.85167464115,1.00511252469,ABT US,Health Care,2.03349282297
2016:Q1,4/20/2016,7:45,0.0083,0.41,0.393,2016-04-20,0.017,0.0432569974555,43.97,0.0684150513113,-0.204685012509,0.273660205245,0.0684150513113,0.524515393387,0.36488027366,0.745824645272,ABT US,Health Care,0.273660205245
2015:Q4,1/28/2016,7:31,0.528,0.62,0.609,2016-01-28,0.011,0.0180623973727,36.71,-6.47393130714,3.10542086625,-9.29083271559,-6.47393130714,-4.99135161848,-6.39980232271,3.20607451387,ABT US,Health Care,-9.29083271559
2015:Q3,10/21/2015,7:45,0.4859,0.54,0.534,2015-10-21,0.006,0.0112359550562,42.2,4.21657882127,3.08056872038,1.10206037374,4.21657882127,4.45615716339,4.4801149976,1.39314912916,ABT US,Health Care,1.10206037374
2015:Q2,7/22/2015,7:45,0.5112,0.52,0.503,2015-07-22,0.017,0.0337972166998,50.98,2.89389067524,0.431541781091,2.45176848875,2.89389067524,2.5924437299,1.86897106109,1.18797081228,ABT US,Health Care,2.45176848875
2015:Q1,4/22/2015,7:45,0.3835,0.47,0.419,2015-04-22,0.051,0.121718377088,48.35,2.84380305603,0.227507755946,2.6103565365,2.84380305603,2.5466893039,0.785229202037,1.09151962157,ABT US,Health Care,2.6103565365
2014:Q4,1/29/2015,7:45,0.514,0.71,0.686,2015-01-29,0.024,0.0349854227405,45.26,3.10988251555,-1.10472823685,4.26169085464,3.10988251555,4.1925823543,5.57475236121,1.67001757967,ABT US,Health Care,4.26169085464
2014:Q3,10/22/2014,7:31,0.4317,0.62,0.598,2014-10-22,0.022,0.0367892976589,41.59,0.0943618778014,2.01971627795,-1.88723755603,0.0943618778014,0.165133286152,-0.353857041755,1.6911675163,ABT US,Health Care,-1.88723755603
2014:Q2,7/16/2014,7:45,0.3336,0.54,0.509,2014-07-16,0.031,0.0609037328094,41.05,1.77313577848,2.0706455542,-0.291474374545,1.77313577848,3.78916686908,4.34782608696,0.982893350604,ABT US,Health Care,-0.291474374545
2014:Q1,4/16/2014,7:45,0.1064,0.41,0.357,2014-04-16,0.053,0.148459383754,38.38,2.52831182513,1.43303804065,1.07979984198,2.52831182513,1.94890703187,1.65920463524,1.06511576802,ABT US,Health Care,1.07979984198
2013:Q4,1/22/2014,7:44,0.3825,0.58,0.582,2014-01-22,-0.002,-0.00343642611684,38.07,-4.3200408998,-1.68111373785,-2.68404907975,-4.3200408998,-6.49284253579,-7.20858895706,1.13627926229,ABT US,Health Care,-2.68404907975
2013:Q3,10/16/2013,7:44,0.3214,0.55,0.514,2013-10-16,0.036,0.0700389105058,35.9,10.2640166123,3.53760445682,6.49658854939,10.2640166123,10.619994067,9.34440818748,2.31650679991,ABT US,Health Care,6.49658854939
2013:Q2,7/17/2013,7:44,0.3491,0.46,0.44,2013-07-17,0.02,0.0454545454545,35.82,0.0,-0.335008375209,0.336134453782,0.0,0.47619047619,0.280112044818,1.31933865225,ABT US,Health Care,0.336134453782
2013:Q1,4/17/2013,7:44,0.316,0.42,0.412,2013-04-17,0.008,0.0194174757282,37.28,1.31868131868,-1.07296137339,2.41758241758,1.31868131868,2.1978021978,1.34615384615,1.37171373068,ABT US,Health Care,2.41758241758
2012:Q4,1/23/2013,7:46,0.3253,1.51,1.496,2013-01-23,0.014,0.00935828877005,32.81,-0.303951367781,-0.0304785126486,-0.273556231003,-0.303951367781,-0.334346504559,0.303951367781,0.763858396231,ABT US,Health Care,-0.273556231003
2012:Q3,10/17/2012,7:44,0.1728,1.3,1.282,2012-10-17,0.018,0.0140405616225,69.04,-7.61125745182,-3.47624565469,-4.28393178982,-7.61125745182,-8.29058644115,-8.7619575766,2.11927418724,ABT US,Health Care,-4.28393178982
2012:Q2,7/18/2012,7:44,0.2625,1.23,1.217,2012-07-18,0.013,0.0106820049302,65.93,-0.993078543485,-0.197178826028,-0.797472163707,-0.993078543485,-2.10653024376,-2.73848931688,0.758462370128,ABT US,Health Care,-0.797472163707
2012:Q1,4/18/2012,7:44,0.2259,1.03,0.998,2012-04-18,0.032,0.0320641282565,60.46,-1.52242263776,-1.57128680119,0.0496442164488,-1.52242263776,-0.910143968228,-0.926692040377,0.682390861787,ABT US,Health Care,0.0496442164488
2011:Q4,1/25/2012,7:47,1.4487,1.45,1.436,2012-01-25,0.014,0.00974930362117,55.23,-1.98285101822,-0.651819663227,-1.3397642015,-1.98285101822,-1.71489817792,-2.69739192569,0.727864318595,ABT US,Health Care,-1.3397642015
2011:Q3,10/19/2011,7:41,1.1764,1.18,1.171,2011-10-19,0.009,0.00768573868488,53.25,3.0701754386,1.50234741784,1.54462242563,3.0701754386,2.70785659802,1.92601067887,1.0430394554,ABT US,Health Care,1.54462242563
2011:Q2,7/20/2011,7:36,1.1288,1.12,1.111,2011-07-20,0.009,0.00810081008101,52.4,-0.0756286632634,0.858778625954,-0.926451124976,-0.0756286632634,0.113442994895,-0.586122140291,0.665300953009,ABT US,Health Care,-0.926451124976
2011:Q1,4/20/2011,7:24,0.9061,0.91,0.903,2011-04-20,0.007,0.0077519379845,50.8,1.38970444314,1.96850393701,-0.567625758465,1.38970444314,0.450185946369,1.33098453709,0.963871119534,ABT US,Health Care,-0.567625758465
2010:Q4,1/26/2011,7:44,1.2953,1.3,1.291,2011-01-26,0.009,0.00697134004648,46.75,-3.29441201001,-0.791443850267,-2.52293577982,-3.29441201001,-5.15012510425,-5.83819849875,1.06088551632,ABT US,Health Care,-2.52293577982
2010:Q3,10/20/2010,7:44,1.0468,1.05,1.042,2010-10-20,0.008,0.00767754318618,52.42,-0.0567429544165,0.80122090805,-0.851144316247,-0.0567429544165,-0.586343862304,-0.680915452998,0.858439175269,ABT US,Health Care,-0.851144316247
2010:Q2,7/21/2010,7:44,0.985,1.01,0.998,2010-07-21,0.012,0.0120240480962,48.68,3.24415420265,0.677896466721,2.54897830209,3.24415420265,3.07562671161,3.72867073941,1.14342326908,ABT US,Health Care,2.54897830209
2010:Q1,4/21/2010,7:42,0.8091,0.84,0.803,2010-04-21,0.037,0.0460772104608,51.78,-3.65623822088,-1.27462340672,-2.41236336223,-3.65623822088,-3.50546551074,-5.06973237844,0.988550546834,ABT US,Health Care,-2.41236336223
2009:Q4,1/27/2010,7:46,1.1524,1.18,1.171,2010-01-27,0.009,0.00768573868488,53.9,-0.972834067548,0.0927643784787,-1.06461086637,-0.972834067548,-2.82672540382,-2.09251101322,0.924487672206,ABT US,Health Care,-1.06461086637
2017:Q3,10/27/2017,7:40,1.2851,1.41,1.385,2017-10-27,0.025,0.0180505415162,91.93,1.56319785619,-1.05515065811,2.64627065654,1.56319785619,0.77043322912,3.21572130415,2.2084769901,ABBV US,Health Care,2.64627065654
