Action ID,Announce Date,Target Ticker,Target Name,Acquirer Ticker,Announced Total Value (mil.),Payment Type,Deal Status,Completion/Termination Date,Cash Terms,Target Industry Sector
109799406,9/4/2015,1500785D US,TECO Energy Inc,EMA CN,10361.49,Cash,Completed,7/1/2016,27.55,Utilities
108072065,6/10/2015,1498499D US,HCC Insurance Holdings Inc,8766 JP,7479.76,Cash,Completed,10/28/2015,78,Financial
45025253,5/3/2010,1482874D CN,Iteration Energy Ltd,CKE CN,565.43,Cash or Stock,Completed,7/6/2010,1.83,Energy
44511497,4/12/2010,1481878D US,DynCorp International Inc,137482Z US,1472.82,Cash,Completed,7/8/2010,17.55,"Consumer, Non-cyclical"
64372078,5/13/2012,1478867D US,Extend Health Inc,TW US,435,Cash,Completed,5/29/2012,435.0000 Mln,Financial
110825209,8/6/2015,1477687D US,Merge Healthcare Inc,IBM US,917.98,Cash,Completed,10/14/2015,7.13,Technology
106710911,5/11/2015,1477069D US,Rosetta Resources Inc,NBL US,3916.77,Stock,Completed,7/21/2015,N/A,Energy
127212222,6/15/2016,1469138D US,Envision Healthcare Holdings Inc,AMSG US,7519.68,Stock,Completed,12/2/2016,N/A,"Consumer, Non-cyclical"
76065092,4/15/2013,1468826D US,NFP Corp,13716Z US,1010.84,Cash,Completed,7/2/2013,25.35,Financial
66644555,7/23/2012,1467202D US,RailAmerica Inc,GWR US,1943.74,Cash,Completed,10/2/2012,27.5,Industrial
44342227,4/4/2010,1464150D US,Arena Resources Inc,SD US,1563.56,Cash and Stock,Completed,7/19/2010,4.5,Energy
110329207,7/30/2015,1457122D CN,Romarco Minerals Inc,OGC CN,440.24,Stock,Completed,10/6/2015,N/A,Basic Materials
80522327,8/15/2013,1456071D HK,Magic Holdings International Ltd,OR FP,695.5,Cash,Completed,4/10/2014,6.3,"Consumer, Non-cyclical"
55933390,7/5/2011,1449779D US,Ameron International Corp,NOV US,617.4,Cash,Completed,10/6/2011,85,Industrial
109755512,10/17/2015,1448479D US,Campus Crest Communities Inc,922694Z US,1407.21,Cash,Completed,3/3/2016,7.018,Financial
90642478,5/18/2014,1448062D US,DIRECTV,T US,66668.8,Cash and Stock,Completed,7/27/2015,28.5,Communications
124799181,4/29/2016,1448021D US,Parkway Properties Inc/Md,CUZ US,3575.55,Stock,Completed,10/6/2016,N/A,Financial
47828164,8/30/2010,1440013D US,Cogent Inc,MMM US,662.43,Cash,Completed,12/2/2010,10.5,Industrial
122966396,4/29/2016,1437361D US,TiVo Solutions Inc,ROVI US,612.2,Cash and Stock,Completed,9/8/2016,2.75,"Consumer, Cyclical"
119468263,1/25/2016,1436513D US,Johnson Controls Inc,JCI US,28667.27,Cash or Stock,Completed,9/6/2016,34.88,"Consumer, Cyclical"
85028440,12/16/2013,1431816D US,LSI Corp,1373183D US,5595.53,Cash,Completed,5/7/2014,11.15,Technology
45418060,5/19/2010,1429071D HK,Denway Motors Ltd,2238 HK,2386.96,Stock,Completed,8/26/2010,N/A,"Consumer, Cyclical"
51171125,1/11/2011,1426897D CN,Cliffs Quebec Iron Mining ULC,CLF US,4478.23,Cash,Completed,5/16/2011,17.25,Basic Materials
90055483,4/16/2014,1413620D CN,Osisko Mining Corp /Old,,3444.37,Cash and Stock,Completed,6/17/2014,2.09,Basic Materials
86168300,1/13/2014,1413620D CN,Osisko Mining Corp /Old,G CN,3347.7,Cash and Stock,Terminated,4/22/2014,2.92,Basic Materials
70015518,10/22/2012,1411788D US,Cascade Corp,6201 JP,703.42,Cash,Completed,4/1/2013,65,Industrial
70254360,10/29/2012,1384851D US,OPNET Technologies Inc,RVBD US,912.34,Cash and Stock,Completed,12/19/2012,36.55,Technology
54320941,5/9/2011,1382554D CN,FGL Sports Ltd,CTC/A CN,810.11,Cash,Completed,8/25/2011,26.5,"Consumer, Cyclical"
65878101,6/28/2012,1374430D CN,Progress Energy Canada Ltd,PET MK,5405.26,Cash,Completed,12/18/2012,22,Energy
60053259,12/16/2011,1369764D US,RSC Holdings Inc,URI US,1912.06,Cash and Stock,Completed,5/1/2012,10.8,"Consumer, Non-cyclical"
